Year,Rank,University,Score,Link,Country,City,Region,Logo
2017,65,monash university,72,https://www.topuniversities.com/universities/monash-university,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/monash-university_412_small.jpg,Oceania
2017,350,moscow institute of physics and technology (mipt / moscow phystech),33,https://www.topuniversities.com/universities/moscow-institute-physics-technology-mipt-moscow-phystech,Russia,Dolgoprudny,https://www.topuniversities.com/sites/default/files/moscow-institute-of-physics-and-technology-mipt-moscow-phystech_15270_small.jpg,Europe
2017,115,nagoya university,60,https://www.topuniversities.com/universities/nagoya-university,Japan,Nagoya,https://www.topuniversities.com/sites/default/files/nagoya-university_427_small.jpg,Asia
2017,115,nanjing university,60,https://www.topuniversities.com/universities/nanjing-university,China (Mainland),Nanjing,https://www.topuniversities.com/sites/default/files/nanjing-university_430_small.jpg,Asia
2017,315,nankai university,36,https://www.topuniversities.com/universities/nankai-university,China (Mainland),Tianjin,https://www.topuniversities.com/sites/default/files/nankai-university_882_small.jpg,Asia
2017,241,national cheng kung university (ncku),42,https://www.topuniversities.com/universities/national-cheng-kung-university-ncku,Taiwan,Tainan City,https://www.topuniversities.com/sites/default/files/national-cheng-kung-university-ncku_435_small.jpg,Asia
2017,174,national chiao tung university,50,https://www.topuniversities.com/universities/national-chiao-tung-university,Taiwan,Hsinchu City,https://www.topuniversities.com/sites/default/files/national-chiao-tung-university_437_small.jpg,Asia
2017,400,national research tomsk polytechnic university,30,https://www.topuniversities.com/universities/national-research-tomsk-polytechnic-university,Russia,,https://www.topuniversities.com/sites/default/files/national-research-tomsk-polytechnic-university_14158_small.jpg,Europe
2017,395,national sun yat-sen university,31,https://www.topuniversities.com/universities/national-sun-yat-sen-university,Taiwan,Kaohsiung City,https://www.topuniversities.com/sites/default/files/national-sun-yat-sen-university_439_small.jpg,Asia
2017,310,national taiwan normal university,36,https://www.topuniversities.com/universities/national-taiwan-normal-university,Taiwan,Taipei City,https://www.topuniversities.com/sites/default/files/national-taiwan-normal-university_440_small.jpg,Asia
2017,68,national taiwan university (ntu),70,https://www.topuniversities.com/universities/national-taiwan-university-ntu,Taiwan,Taipei City,https://www.topuniversities.com/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg,Asia
2017,243,national taiwan university of science and technology (taiwan tech),42,https://www.topuniversities.com/universities/national-taiwan-university-science-technology-taiwan-tech,Taiwan,Taipei City,https://www.topuniversities.com/sites/default/files/national-taiwan-university-of-science-and-technology-taiwan-tech_590_small.jpg,Asia
2017,395,national technical university of athens,31,https://www.topuniversities.com/universities/national-technical-university-athens,Greece,Athens,https://www.topuniversities.com/sites/default/files/national-technical-university-of-athens_592560cf2aeae70239af4aa3_small.jpg,Europe
2017,151,national tsing hua university,54,https://www.topuniversities.com/universities/national-tsing-hua-university,Taiwan,Hsinchu City,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg,Asia
2017,249,national university of ireland galway,41,https://www.topuniversities.com/universities/national-university-ireland-galway,Ireland,Galway,https://www.topuniversities.com/sites/default/files/national-university-of-ireland-galway_220_small.jpg,Europe
2017,12,national university of singapore (nus),92,https://www.topuniversities.com/universities/national-university-singapore-nus,Singapore,Singapore,https://www.topuniversities.com/sites/default/files/national-university-of-singapore-nus_443_small.jpg,Asia
2017,308,national yang ming university,36,https://www.topuniversities.com/universities/national-yang-ming-university,Taiwan,Taipei City,https://www.topuniversities.com/sites/default/files/national-yang-ming-university_444_small.jpg,Asia
2017,46,new york university (nyu),78,https://www.topuniversities.com/universities/new-york-university-nyu,United States,New York City,https://www.topuniversities.com/sites/default/files/new-york-university-nyu_448_small.jpg,North America
2017,168,newcastle university,52,https://www.topuniversities.com/universities/newcastle-university,United Kingdom,Newcastle upon Tyne,https://www.topuniversities.com/sites/default/files/newcastle-university_592560cf2aeae70239af4c45_small.jpg,Europe
2017,277,north carolina state university,38,https://www.topuniversities.com/universities/north-carolina-state-university,United States,Raleigh,https://www.topuniversities.com/sites/default/files/north-carolina-state-university_592560cf2aeae70239af4c2a_small.jpg,North America
2017,361,northeastern university,32,https://www.topuniversities.com/universities/northeastern-university,United States,Boston,https://www.topuniversities.com/sites/default/files/northeastern-university_454_small.jpg,North America
2017,26,northwestern university,86,https://www.topuniversities.com/universities/northwestern-university,United States,Evanston,https://www.topuniversities.com/sites/default/files/northwestern-university_592560cf2aeae70239af4c50_small.jpg,North America
2017,259,norwegian university of science and technology,40,https://www.topuniversities.com/universities/norwegian-university-science-technology,Norway,Trondheim,https://www.topuniversities.com/sites/default/files/norwegian-university-of-science-and-technology_457_small.jpg,Europe
2017,291,novosibirsk state university,37,https://www.topuniversities.com/universities/novosibirsk-state-university,Russia,Novosibirsk ,https://www.topuniversities.com/sites/default/files/novosibirsk-state-university_462_small.jpg,Europe
2017,63,osaka university,72,https://www.topuniversities.com/universities/osaka-university,Japan,Osaka City,https://www.topuniversities.com/sites/default/files/osaka-university_472_small.jpg,Asia
2017,359,oxford brookes university,33,https://www.topuniversities.com/universities/oxford-brookes-university,United Kingdom,,https://www.topuniversities.com/sites/default/files/oxford-brookes-university_592560cf2aeae70239af4c61_small.jpg,Europe
2017,39,peking university,81,https://www.topuniversities.com/universities/peking-university,China (Mainland),Beijing,https://www.topuniversities.com/sites/default/files/peking-university_50_small.jpg,Asia
2017,95,pennsylvania state university,64,https://www.topuniversities.com/universities/pennsylvania-state-university,United States,University Park,https://www.topuniversities.com/sites/default/files/pennsylvania-state-university_494_small.jpg,North America
2017,83,pohang university of science and technology (postech),67,https://www.topuniversities.com/universities/pohang-university-science-technology-postech,South Korea,Pohang ,https://www.topuniversities.com/sites/default/files/pohang-university-of-science-and-technology-postech_592560cf2aeae70239af4c7b_small.jpg,Asia
2017,183,politecnico di milano,49,https://www.topuniversities.com/universities/politecnico-di-milano,Italy,Milan,https://www.topuniversities.com/sites/default/files/politecnico-di-milano_592560cf2aeae70239af4c1c_small.jpg,Europe
2017,305,politecnico di torino,36,https://www.topuniversities.com/universities/politecnico-di-torino,Italy,Turin,https://www.topuniversities.com/sites/default/files/politecnico-di-torino_633_small.jpg,Europe
2017,310,pontificia universidad cat„≥lica argentina,36,https://www.topuniversities.com/universities/pontificia-universidad-catolica-argentina,Argentina,Buenos Aires,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-argentina_592560cf2aeae70239af5486_small.jpg,Latin America
2017,147,pontificia universidad cat„≥lica de chile (uc),55,https://www.topuniversities.com/universities/pontificia-universidad-cat%C3%B3lica-de-chile-uc,Chile,Santiago,https://www.topuniversities.com/sites/default/files/pontificia-universidad-catlica-de-chile-uc_107_small.jpg,Latin America
2017,11,princeton university,93,https://www.topuniversities.com/universities/princeton-university,United States,Princeton,https://www.topuniversities.com/sites/default/files/princeton-university_508_small.jpg,North America
2017,92,purdue university,65,https://www.topuniversities.com/universities/purdue-university,United States,West Lafayette,https://www.topuniversities.com/sites/default/files/purdue-university_510_small.jpg,North America
2017,393,qatar university,31,https://www.topuniversities.com/universities/qatar-university,Qatar,Doha,https://www.topuniversities.com/sites/default/files/qatar-university_2537_small.jpg,Asia
2017,123,queen mary university of london,59,https://www.topuniversities.com/universities/queen-mary-university-london,United Kingdom,London,https://www.topuniversities.com/sites/default/files/queen-mary-university-of-london_592560cf2aeae70239af4bea_small.jpg,Europe
2017,195,queen's university belfast,48,https://www.topuniversities.com/universities/queens-university-belfast,United Kingdom,,https://www.topuniversities.com/sites/default/files/queens-university-belfast_592560cf2aeae70239af4c86_small.jpg,Europe
2017,223,queen's university at kingston,44,https://www.topuniversities.com/universities/queens-university-kingston,Canada,Kingston,https://www.topuniversities.com/sites/default/files/queens-university-at-kingston_513_small.jpg,North America
2017,276,queensland university of technology (qut),38,https://www.topuniversities.com/universities/queensland-university-technology-qut,Australia,Brisbane,https://www.topuniversities.com/sites/default/files/queensland-university-of-technology-qut_592560cf2aeae70239af4c88_small.jpg,Oceania
2017,252,rmit university,41,https://www.topuniversities.com/universities/rmit-university,Australia,Melbourne,https://www.topuniversities.com/sites/default/files/rmit-university_592560cf2aeae70239af4c95_small.jpg,Oceania
2017,146,rwth aachen university,55,https://www.topuniversities.com/universities/rwth-aachen-university,Germany,Aachen,https://www.topuniversities.com/sites/default/files/rwth-aachen-university_4_small.jpg,Europe
2017,190,radboud university ,48,https://www.topuniversities.com/universities/radboud-university,Netherlands,Nijmegen,https://www.topuniversities.com/sites/default/files/radboud-university_452_small.jpg,Europe
2017,310,rensselaer polytechnic institute,36,https://www.topuniversities.com/universities/rensselaer-polytechnic-institute,United States,Troy,https://www.topuniversities.com/sites/default/files/rensselaer-polytechnic-institute_522_small.jpg,North America
2017,231,rheinische friedrich-wilhelms-universit„§t bonn,43,https://www.topuniversities.com/universities/rheinische-friedrich-wilhelms-universitat-bonn,Germany,Bonn,https://www.topuniversities.com/sites/default/files/rheinische-friedrich-wilhelms-universitt-bonn_592560cf2aeae70239af4ac1_small.jpg,Europe
2017,90,rice university,65,https://www.topuniversities.com/universities/rice-university,United States,Houston,https://www.topuniversities.com/sites/default/files/rice-university_524_small.jpg,North America
2017,235,royal holloway university of london,43,https://www.topuniversities.com/universities/royal-holloway-university-london,United Kingdom,Egham,https://www.topuniversities.com/sites/default/files/royal-holloway-university-of-london_534_small.jpg,Europe
2017,72,ruprecht-karls-universit„§t heidelberg,70,https://www.topuniversities.com/universities/ruprecht-karls-universitat-heidelberg,Germany,Heidelberg,https://www.topuniversities.com/sites/default/files/ruprecht-karls-universitaet-heidelberg_259_small.jpg,Europe
2017,301,rutgers university‚Äìnew brunswick,37,https://www.topuniversities.com/universities/rutgers-university-new-brunswick,United States,New Brunswick,https://www.topuniversities.com/sites/default/files/rutgers-university-new-brunswick_538_small.jpg,North America
2017,252,soas university of london ,41,https://www.topuniversities.com/universities/soas-university-london,United Kingdom,London,https://www.topuniversities.com/sites/default/files/soas-university-of-london-_592560cf2aeae70239af4bf0_small.jpg,Europe
2017,258,saint petersburg state university,40,https://www.topuniversities.com/universities/saint-petersburg-state-university,Russia,Saint Petersburg,https://www.topuniversities.com/sites/default/files/saint-petersburg-state-university_592560cf2aeae70239af4cc0_small.jpg,Europe
2017,223,sapienza university of rome,44,https://www.topuniversities.com/universities/sapienza-university-rome,Italy,Rome,https://www.topuniversities.com/sites/default/files/sapienza-university-of-rome_592560cf2aeae70239af4c97_small.jpg,Europe
2017,220,sciences po ,45,https://www.topuniversities.com/universities/sciences-po,France,Paris,https://www.topuniversities.com/sites/default/files/sciences-po-_592560cf2aeae70239af4c64_small.jpg,Europe
2017,35,seoul national university,82,https://www.topuniversities.com/universities/seoul-national-university,South Korea,Seoul,https://www.topuniversities.com/sites/default/files/graduate-school-of-business-seoul-national-university_553_small.jpg,Asia
2017,61,shanghai jiao tong university,72,https://www.topuniversities.com/universities/shanghai-jiao-tong-university,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/shanghai-jiao-tong-university_556_small.jpg,Asia
2017,226,simon fraser university,44,https://www.topuniversities.com/universities/simon-fraser-university,Canada,Burnaby,https://www.topuniversities.com/sites/default/files/simon-fraser-university_562_small.jpg,North America
2017,2,stanford university,99,https://www.topuniversities.com/universities/stanford-university,United States,Stanford,https://www.topuniversities.com/sites/default/files/stanford-university_573_small.jpg,North America
2017,395,stellenbosch university,31,https://www.topuniversities.com/universities/stellenbosch-university,South Africa,Stellenbosch,https://www.topuniversities.com/sites/default/files/stellenbosch-university_574_small.jpg,Africa
2017,196,stockholm university,47,https://www.topuniversities.com/universities/stockholm-university,Sweden,Stockholm,https://www.topuniversities.com/sites/default/files/stockholm-university_577_small.jpg,Europe
2017,390,stony brook university|| state university of new york,31,https://www.topuniversities.com/universities/stony-brook-university-state-university-new-york,United States,Stony Brook,https://www.topuniversities.com/sites/default/files/stony-brook-university-state-university-of-new-york_592560cf2aeae70239af4ccb_small.jpg,North America
2017,297,sun yat-sen university,37,https://www.topuniversities.com/universities/sun-yat-sen-university,China (Mainland),Guangzhou,https://www.topuniversities.com/sites/default/files/sun-yat-sen-university_888_small.jpg,Asia
2017,106,sungkyunkwan university(skku),62,https://www.topuniversities.com/universities/sungkyunkwan-universityskku,South Korea,Suwon,https://www.topuniversities.com/sites/default/files/sungkyunkwan-universityskku_592560cf2aeae70239af4cc9_small.jpg,Asia
2017,390,swansea university,31,https://www.topuniversities.com/universities/swansea-university,United Kingdom,Swansea,https://www.topuniversities.com/sites/default/files/swansea-university_592560cf2aeae70239af4cce_small.jpg,Europe
2017,319,tampere university of technology ,36,https://www.topuniversities.com/universities/tampere-university-technology,Finland,Tampere,https://www.topuniversities.com/sites/default/files/tampere-university-of-technology_1269_small.jpg,Europe
2017,247,technical university of darmstadt,41,https://www.topuniversities.com/universities/technical-university-darmstadt,Germany,Darmstadt,https://www.topuniversities.com/sites/default/files/technische-universitt-darmstadt_628_small.jpg,Europe
2017,109,technical university of denmark,62,https://www.topuniversities.com/universities/technical-university-denmark,Denmark,Kongens Lyngby,https://www.topuniversities.com/sites/default/files/technical-university-of-denmark_592560cf2aeae70239af4cd8_small.jpg,Europe
2017,60,technical university of munich,72,https://www.topuniversities.com/universities/technical-university-munich,Germany,Munich,https://www.topuniversities.com/sites/default/files/technical-university-of-munich_599_small.jpg,Europe
2017,213,technion - israel institute of technology,46,https://www.topuniversities.com/universities/technion-israel-institute-technology,Israel,Haifa,https://www.topuniversities.com/sites/default/files/technion-israel-institute-of-technology_600_small.jpg,Asia
2017,164,technische universit„§t berlin (tu berlin),52,https://www.topuniversities.com/universities/technische-universitat-berlin-tu-berlin,Germany,Berlin,https://www.topuniversities.com/sites/default/files/technische-universitt-berlin-tu-berlin_595_small.jpg,Europe
2017,210,technische universit„§t dresden,46,https://www.topuniversities.com/universities/technische-universitat-dresden,Germany,Dresden,https://www.topuniversities.com/sites/default/files/technische-universitt-dresden_598_small.jpg,Europe
2017,183,technische universit„§t wien,49,https://www.topuniversities.com/universities/vienna-university-technology,Austria,Vienna,https://www.topuniversities.com/sites/default/files/vienna-university-of-technology_653_small.jpg,Europe
2017,206,tecnol„≥gico de monterrey,46,https://www.topuniversities.com/universities/tecnologico-de-monterrey,Mexico,Monterrey,https://www.topuniversities.com/sites/default/files/instituto-tecnolgico-y-de-estudios-superiores-de-monterrey_592560cf2aeae70239af4cd6_small.jpg,Latin America
2017,212,tel aviv university,46,https://www.topuniversities.com/universities/tel-aviv-university,Israel,Tel Aviv,https://www.topuniversities.com/sites/default/files/tel-aviv-university_592560cf2aeae70239af4cde_small.jpg,Asia
2017,160,texas a&m university,53,https://www.topuniversities.com/universities/texas-am-university,United States,Galveston,https://www.topuniversities.com/sites/default/files/texas-am-university_592560cf2aeae70239af4ce2_small.jpg,North America
2017,365,the american university in cairo,32,https://www.topuniversities.com/universities/american-university-cairo,Egypt,Cairo,https://www.topuniversities.com/sites/default/files/the-american-university-in-cairo_36_small.jpg,Africa
2017,22,the australian national university,87,https://www.topuniversities.com/universities/australian-national-university,Australia,Canberra,https://www.topuniversities.com/sites/default/files/the-australian-national-university_40_small.jpg,Oceania
2017,44,the chinese university of hong kong (cuhk),78,https://www.topuniversities.com/universities/chinese-university-hong-kong-cuhk,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/the-chinese-university-of-hong-kong-cuhk_123_small.jpg,Asia
2017,148,the hebrew university of jerusalem,54,https://www.topuniversities.com/universities/hebrew-university-jerusalem,Israel,Jerusalem,https://www.topuniversities.com/sites/default/files/the-hebrew-university-of-jerusalem_256_small.jpg,Asia
2017,111,the hong kong polytechnic university,61,https://www.topuniversities.com/universities/hong-kong-polytechnic-university,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/the-hong-kong-polytechnic-university_267_small.jpg,Asia
2017,36,the hong kong university of science and technology,82,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/the-hong-kong-university-of-science-and-technology_269_small.jpg,Asia
2017,37,the london school of economics and political science (lse),82,https://www.topuniversities.com/universities/london-school-economics-political-science-lse,United Kingdom,London,https://www.topuniversities.com/sites/default/files/london-school-of-economics-and-political-science-lse_362_small.jpg,Europe
2017,88,the ohio state university,65,https://www.topuniversities.com/universities/ohio-state-university,United States,Columbus,https://www.topuniversities.com/sites/default/files/the-ohio-state-university_465_small.jpg,North America
2017,125,the university of adelaide,59,https://www.topuniversities.com/universities/university-adelaide,Australia,Adelaide,https://www.topuniversities.com/sites/default/files/the-university-of-adelaide_10_small.jpg,Oceania
2017,233,the university of arizona,43,https://www.topuniversities.com/universities/university-arizona,United States,Tucson,https://www.topuniversities.com/sites/default/files/the-university-of-arizona_26_small.jpg,North America
2017,81,the university of auckland,67,https://www.topuniversities.com/universities/university-auckland,New Zealand,Auckland,https://www.topuniversities.com/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg,Oceania
2017,19,the university of edinburgh,89,https://www.topuniversities.com/universities/university-edinburgh,United Kingdom,Edinburgh,https://www.topuniversities.com/sites/default/files/the-university-of-edinburgh_180_small.jpg,Europe
2017,164,the university of exeter,52,https://www.topuniversities.com/universities/university-exeter,United Kingdom,Exeter,https://www.topuniversities.com/sites/default/files/the-university-of-exeter_204_small.jpg,Europe
2017,27,the university of hong kong,85,https://www.topuniversities.com/universities/university-hong-kong,Hong Kong SAR,Hong Kong,https://www.topuniversities.com/sites/default/files/the-university-of-hong-kong_268_small.jpg,Asia
2017,29,the university of manchester,85,https://www.topuniversities.com/universities/university-manchester,United Kingdom,Manchester,https://www.topuniversities.com/sites/default/files/the-university-of-manchester_389_small.jpg,Europe
2017,42,the university of melbourne,80,https://www.topuniversities.com/universities/university-melbourne,Australia,Parkville,https://www.topuniversities.com/sites/default/files/the-university-of-melbourne_399_small.jpg,Oceania
2017,49,the university of new south wales (unsw sydney),78,https://www.topuniversities.com/universities/university-new-south-wales-unsw-sydney,Australia,Sydney,https://www.topuniversities.com/sites/default/files/the-university-of-new-south-wales-unsw-sydney_447_small.jpg,Oceania
2017,245,the university of newcastle|| australia (uon),41,https://www.topuniversities.com/universities/university-newcastle-australia-uon,Australia,Callaghan,https://www.topuniversities.com/sites/default/files/the-university-of-newcastle-australia-uon_449_small.jpg,Oceania
2017,51,the university of queensland,78,https://www.topuniversities.com/universities/university-queensland,Australia,Brisbane,https://www.topuniversities.com/sites/default/files/the-university-of-queensland_515_small.jpg,Oceania
2017,84,the university of sheffield,67,https://www.topuniversities.com/universities/university-sheffield,United Kingdom,Sheffield,https://www.topuniversities.com/sites/default/files/the-university-of-sheffield_592560cf2aeae70239af4cb1_small.jpg,Europe
2017,46,the university of sydney,78,https://www.topuniversities.com/universities/university-sydney,Australia,Sydney,https://www.topuniversities.com/sites/default/files/the-university-of-sydney_592560cf2aeae70239af4cd0_small.jpg,Oceania
2017,34,the university of tokyo,83,https://www.topuniversities.com/universities/university-tokyo,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/the-university-of-tokyo_615_small.jpg,Asia
2017,51,the university of warwick,78,https://www.topuniversities.com/universities/university-warwick,United Kingdom,Coventry,https://www.topuniversities.com/sites/default/files/the-university-of-warwick_664_small.jpg,Europe
2017,102,the university of western australia,63,https://www.topuniversities.com/universities/university-western-australia,Australia,Perth,https://www.topuniversities.com/sites/default/files/the-university-of-western-australia_673_small.jpg,Oceania
2017,330,tilburg university,35,https://www.topuniversities.com/universities/tilburg-university,Netherlands,Tilburg,https://www.topuniversities.com/sites/default/files/tilburg-university_592560cf2aeae70239af4ce5_small.jpg,Europe
2017,75,tohoku university,69,https://www.topuniversities.com/universities/tohoku-university,Japan,Sendai City,https://www.topuniversities.com/sites/default/files/tohoku-university_611_small.jpg,Asia
2017,56,tokyo institute of technology (tokyo tech),75,https://www.topuniversities.com/universities/tokyo-institute-technology-tokyo-tech,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/tokyo-institute-of-technology_592560cf2aeae70239af4ceb_small.jpg,Asia
2017,329,tokyo medical and dental university (tmdu),35,https://www.topuniversities.com/universities/tokyo-medical-dental-university-tmdu,Japan,Tokyo,https://www.topuniversities.com/sites/default/files/tokyo-medical-and-dental-university-tmdu_592560cf2aeae70239af4e8a_small.jpg,Asia
2017,377,tomsk state university,31,https://www.topuniversities.com/universities/tomsk-state-university,Russia,Tomsk,https://www.topuniversities.com/sites/default/files/tomsk-state-university_616_small.jpg,Europe
2017,315,tongji university,36,https://www.topuniversities.com/universities/tongji-university,China (Mainland),Shanghai,https://www.topuniversities.com/sites/default/files/tongji-university_617_small.jpg,Asia
2017,98,trinity college dublin|| the university of dublin,63,https://www.topuniversities.com/universities/trinity-college-dublin-university-dublin,Ireland,Dublin,https://www.topuniversities.com/sites/default/files/trinity-college-dublin-the-university-of-dublin_167_small.jpg,Europe
